ID,X,Y,OBJECTID,API
12226,726428.67701325,463670.151705875,12226,3002536593
12552,723761.472620474,439168.759080002,12552,3002533717
12785,725386.345716314,435958.562208327,12785,3002542752
13391,726436.448030419,457241.578921363,13391,3002544343
22939,728096.612990532,461516.594592471,22939,3002537962
23207,722071.298563548,446221.281941278,23207,3002542346
27085,730361.810681012,467123.682942405,27085,3002541851
27087,729362.034803907,467119.552361709,27087,3002541850
27559,723715.803305784,446505.414078343,27559,3002542488
27560,722619.322996799,446499.160509689,27560,3002542517
27796,725450.895032337,446518.746848177,27796,3002541958
28069,725690.597123614,446660.545988744,28069,3002541126
43867,718986.98783555,449593.84006928,43867,3002524530
60496,720295.090942128,451914.537561587,60496,3002524411
62878,721296.536170477,449610.530538387,62878,3002524432
73093,725522.699951556,451233.527444126,73093,3002539882
94145,729087.098468854,461520.655280491,94145,3002508364
98058,719649.381188425,448603.190586462,98058,3002529180
116325,717336.596226737,451230.310840444,116325,3002540792
11815,725252.330881291,441703.182350388,11815,3002536489
12736,724127.712505076,435951.585315338,12736,3002541517
22759,723587.310417248,444008.133095881,22759,3002541735
22764,722632.666462365,445972.381028202,22764,3002541461
43266,730746.906550311,459868.507102222,43266,3002538615
70941,730265.211479987,467793.319981591,70941,3002541803
8851,715804.453218274,460107.646907051,8851,3002531929
12125,724968.60725436,445965.923466837,12125,3002541463
12776,720981.07434017,436058.213498311,12776,3002542536
27573,718504.103436166,461775.562688823,27573,3002542742
27577,719441.19307105,457254.613693256,27577,3002541800
27691,719198.211891346,457233.395463387,27691,3002543141
27811,720222.060829812,457236.212165642,27811,3002540689
27990,723615.307603424,446504.853170075,27990,3002542489
40734,730747.825482286,459879.511758404,40734,3002539591
95300,716002.909474785,453529.467179649,95300,3002508136
97727,718652.213236877,448259.96932104,97727,3002529181
98317,717353.734527932,448252.232371694,98317,3002525552
116425,719818.265603743,451250.792644251,116425,3002540700
116436,715659.315292582,461391.785713124,116436,3002540578
13683,727038.154792182,467647.550036767,13683,3002541914
14313,726469.465172063,457241.731522051,14313,3002544344
22752,730068.36214614,462515.570892359,22752,3002538519
27578,720182.504189157,461794.308163702,27578,3002542741
42545,729022.138668334,461706.182439039,42545,3002541054
68795,729013.88960985,470753.179071758,68795,3002524893
74315,728758.526155276,467785.689672152,74315,3002541371
94432,715609.773623179,461756.462887306,94432,3002508135
94605,716026.323554187,449568.921892198,94605,3002508146
116334,717559.992999508,461777.491373638,116334,3002540343
116390,718648.21099782,451240.303333381,116390,3002540791
116430,716015.591316889,451218.890180847,116430,3002540793
11575,724028.568468375,435950.91741461,11575,3002541515
13694,724078.125061919,435951.250968436,13694,3002541516
13809,727087.664117986,467647.88904764,13809,3002541913
13881,725361.288983296,435958.392400464,13881,3002542753
27086,726723.517761458,467106.93236085,27086,3002541827
27558,721338.012218021,446491.749128002,27558,3002542453
39958,730929.66895827,462065.373777327,39958,3002532395
41977,730749.412415859,459877.930163047,41977,3002540878
42377,727764.180442874,461845.988629272,42377,3002540489
42496,728782.969236859,461850.234918723,42496,3002540314
43869,719971.404598347,450921.514589887,43869,3002524433
43870,719975.445829955,449601.754519287,43870,3002524468
96184,722380.149114146,451266.467716718,96184,3002524634
12124,721311.390367982,445964.93677659,12124,3002541460
12838,725411.3404255,435958.731416382,12838,3002542754
14979,721394.702665895,435933.28173585,14979,3002541024
18278,721290.123347726,450930.275632695,18278,3002524347
39922,730746.828565075,459878.506986168,39922,3002537562
96251,718610.031117778,458825.651178303,96251,3002521081
116254,716506.991741067,447001.426329618,116254,3002543997
12126,720226.697149583,451914.084085763,12126,3002541582
22758,723904.370360091,445979.544207688,22758,3002541462
23199,722171.309554801,446221.878029205,23199,3002542345
23208,722073.501012424,446146.248859646,23208,3002542439
27071,727723.292319287,467111.019995922,27071,3002541828
27802,719342.1433743,457253.958995916,27802,3002542006
27806,725540.958278128,448198.581777676,27806,3002540853
41455,730079.896010305,461195.847765499,41455,3002537561
42478,726362.593632941,461948.809040644,42478,3002540891
73193,725532.821176116,449743.109281859,73193,3002539883
92632,722893.539077227,449289.534084172,92632,3002508368
92867,725218.865211491,446987.637986316,92867,3002508369
95213,730354.857759158,468124.239971229,95213,3002520424
96576,717360.019162865,446932.490927442,96576,3002525388
116364,716930.341075458,461770.602860613,116364,3002540666
11413,728126.223523243,457893.296638762,11413,3002537973
11581,724168.997583777,435948.654406444,11581,3002542427
27991,722498.728982128,446498.461818771,27991,3002542518
28001,718343.604937763,457022.546677744,28001,3002540688
41152,730402.230982542,461986.336008535,41152,3002540907
42563,728772.935427544,461850.858030732,42563,3002542242
74904,730716.874580047,463839.475581387,74904,3002538520
94168,715955.354646565,460110.011158174,94168,3002508134
95990,718644.036813091,452231.152433355,95990,3002524717
96805,719981.851059308,448275.098909413,96805,3002526643
116413,717390.203679001,461776.37828449,116413,3002540667
116423,716540.075859679,461947.078411512,116423,3002540665
116491,715656.942326199,461756.769660952,116491,3002540184
118766,722846.920038811,449595.92219444,118766,3002542463
